entity_id,state,last_changed
sensor.synthetic_power,1432.3089355261882,2024-01-01 00:00:00
sensor.synthetic_power,1525.3941874575926,2024-01-01 01:00:00
sensor.synthetic_power,1588.883502994969,2024-01-01 02:00:00
sensor.synthetic_power,1514.4513878303374,2024-01-01 03:00:00
sensor.synthetic_power,1646.048429179279,2024-01-01 04:00:00
sensor.synthetic_power,1725.2900463972262,2024-01-01 05:00:00
sensor.synthetic_power,1614.8456811387123,2024-01-01 06:00:00
sensor.synthetic_power,1705.3720328712006,2024-01-01 07:00:00
sensor.synthetic_power,1655.3164853161961,2024-01-01 08:00:00
sensor.synthetic_power,1529.970738830053,2024-01-01 09:00:00
sensor.synthetic_power,1578.5667845872924,2024-01-01 10:00:00
sensor.synthetic_power,1547.7363056155405,2024-01-01 11:00:00
sensor.synthetic_power,1481.438481881424,2024-01-01 12:00:00
sensor.synthetic_power,1519.8683004789577,2024-01-01 13:00:00
sensor.synthetic_power,1419.3081881951787,2024-01-01 14:00:00
sensor.synthetic_power,1391.4972969836015,2024-01-01 15:00:00
sensor.synthetic_power,1346.6861975856032,2024-01-01 16:00:00
sensor.synthetic_power,1325.1498751464956,2024-01-01 17:00:00
sensor.synthetic_power,1365.5011339700245,2024-01-01 18:00:00
sensor.synthetic_power,1336.3294993380678,2024-01-01 19:00:00
sensor.synthetic_power,1298.5131279052152,2024-01-01 20:00:00
sensor.synthetic_power,1366.1609005906578,2024-01-01 21:00:00
sensor.synthetic_power,1428.8864226850476,2024-01-01 22:00:00
sensor.synthetic_power,1490.9930076946541,2024-01-01 23:00:00
sensor.synthetic_power,1428.0832477963459,2024-01-02 00:00:00
sensor.synthetic_power,1418.4832927892267,2024-01-02 01:00:00
sensor.synthetic_power,1575.0441480729503,2024-01-02 02:00:00
sensor.synthetic_power,1652.5308088348215,2024-01-02 03:00:00
sensor.synthetic_power,1628.2524581933224,2024-01-02 04:00:00
sensor.synthetic_power,1862.9764950476751,2024-01-02 05:00:00
sensor.synthetic_power,1670.6173840287752,2024-01-02 06:00:00
sensor.synthetic_power,1633.5955118742093,2024-01-02 07:00:00
sensor.synthetic_power,1637.3933234237488,2024-01-02 08:00:00
sensor.synthetic_power,1647.3702426384516,2024-01-02 09:00:00
sensor.synthetic_power,1529.3918936484508,2024-01-02 10:00:00
sensor.synthetic_power,1589.909927854167,2024-01-02 11:00:00
sensor.synthetic_power,1616.6721232136515,2024-01-02 12:00:00
sensor.synthetic_power,1432.0588189776415,2024-01-02 13:00:00
sensor.synthetic_power,1375.925951139192,2024-01-02 14:00:00
sensor.synthetic_power,1304.2802157473882,2024-01-02 15:00:00
sensor.synthetic_power,1272.7410946655978,2024-01-02 16:00:00
sensor.synthetic_power,1258.5949550394114,2024-01-02 17:00:00
sensor.synthetic_power,1393.859797160273,2024-01-02 18:00:00
sensor.synthetic_power,1269.4536572289521,2024-01-02 19:00:00
sensor.synthetic_power,1288.6409845787969,2024-01-02 20:00:00
sensor.synthetic_power,1300.6180663302864,2024-01-02 21:00:00
sensor.synthetic_power,1421.989016629481,2024-01-02 22:00:00
sensor.synthetic_power,1378.6361697440234,2024-01-02 23:00:00
sensor.synthetic_power,1471.541749115062,2024-01-03 00:00:00
sensor.synthetic_power,1554.4876704972569,2024-01-03 01:00:00
sensor.synthetic_power,1623.509400230457,2024-01-03 02:00:00
sensor.synthetic_power,1723.6945943099208,2024-01-03 03:00:00
sensor.synthetic_power,1636.2763285256897,2024-01-03 04:00:00
sensor.synthetic_power,1664.6346854464105,2024-01-03 05:00:00
sensor.synthetic_power,1656.9890983812204,2024-01-03 06:00:00
sensor.synthetic_power,1742.4040140144675,2024-01-03 07:00:00
sensor.synthetic_power,1669.3474722530386,2024-01-03 08:00:00
sensor.synthetic_power,1695.0570636104082,2024-01-03 09:00:00
sensor.synthetic_power,1588.873043018739,2024-01-03 10:00:00
sensor.synthetic_power,1526.2798624840632,2024-01-03 11:00:00
sensor.synthetic_power,1529.972500712785,2024-01-03 12:00:00
sensor.synthetic_power,1353.113934057356,2024-01-03 13:00:00
sensor.synthetic_power,1341.026945856359,2024-01-03 14:00:00
sensor.synthetic_power,1425.4519905598845,2024-01-03 15:00:00
sensor.synthetic_power,1292.9558622008087,2024-01-03 16:00:00
sensor.synthetic_power,1350.858713867016,2024-01-03 17:00:00
sensor.synthetic_power,1234.432781844889,2024-01-03 18:00:00
sensor.synthetic_power,1337.1871435311284,2024-01-03 19:00:00
sensor.synthetic_power,1454.9154320410103,2024-01-03 20:00:00
